"income","infant","region","oil"
3426,26.7,"Asia","no"
3350,23.7,"Europe","no"
3346,17,"Europe","no"
4751,16.8,"Americas","no"
5029,13.5,"Europe","no"
3312,10.1,"Europe","no"
3403,12.9,"Europe","no"
5040,20.4,"Europe","no"
2009,17.8,"Europe","no"
2298,25.7,"Europe","no"
3292,11.7,"Europe","no"
4103,11.6,"Europe","no"
3723,16.2,"Asia","no"
4102,11.3,"Europe","no"
956,44.8,"Europe","no"
1000,71.5,"Africa","no"
5596,9.6,"Europe","no"
2963,12.8,"Europe","no"
2503,17.5,"Europe","no"
5523,17.6,"Americas","no"
400,86.3,"Africa","yes"
250,78.5,"Americas","yes"
110,125,"Asia","yes"
1280,NA,"Asia","yes"
560,28.1,"Asia","yes"
3010,300,"Africa","yes"
220,58,"Africa","yes"
1530,650,"Asia","yes"
1240,51.7,"Americas","yes"
1191,59.6,"Americas","no"
425,170,"Americas","no"
590,78,"Americas","no"
426,62.8,"Americas","no"
725,54.4,"Americas","no"
406,48.8,"Americas","no"
1760,27.8,"Europe","no"
302,79.1,"Americas","no"
2526,22.1,"Asia","no"
727,26.2,"Americas","no"
631,13.6,"Asia","no"
295,32,"Asia","no"
684,60.9,"Americas","no"
507,46,"Americas","no"
754,34.1,"Americas","no"
335,65.1,"Americas","no"
1268,20.4,"Asia","no"
1256,15.1,"Europe","no"
261,19.1,"Asia","no"
732,26.2,"Americas","no"
434,76.3,"Africa","no"
799,40.4,"Americas","no"
406,43.3,"Europe","no"
310,259,"Africa","no"
200,60.4,"Americas","no"
100,137,"Africa","no"
281,180,"Africa","no"
210,114,"Africa","no"
319,58.2,"Americas","no"
217,63.7,"Africa","no"
284,39.3,"Americas","no"
387,138,"Africa","no"
334,21.3,"Asia","no"
344,58,"Asia","no"
197,159.2,"Africa","no"
279,149,"Africa","no"
477,10.2,"Asia","no"
347,38.6,"Americas","no"
230,67.9,"Asia","no"
334,21.7,"Asia","no"
210,27,"Asia","no"
435,153,"Asia","no"
130,100,"Asia","no"
75,400,"Asia","no"
100,124.3,"Asia","no"
73,200,"Asia","no"
68,150,"Africa","no"
123,100,"Asia","no"
122,190,"Africa","no"
70,160,"Africa","no"
81,109.6,"Africa","no"
79,84.2,"Africa","no"
79,216,"Africa","no"
100,NA,"Americas","no"
93,60.6,"Asia","no"
169,55,"Africa","no"
71,NA,"Asia","no"
120,102,"Africa","no"
130,148.3,"Africa","no"
50,120,"Africa","no"
174,187,"Africa","no"
90,NA,"Asia","no"
70,200,"Africa","no"
102,124.3,"Asia","no"
61,132.9,"Africa","no"
148,170,"Africa","no"
85,158,"Africa","no"
162,45.1,"Asia","no"
125,129.4,"Africa","no"
120,162.5,"Africa","no"
160,127,"Africa","no"
134,160,"Africa","no"
82,180,"Africa","no"
96,80,"Asia","no"
77,50,"Asia","no"
118,104,"Africa","no"
