"education","sex","agree","disagree"
0,"Male",4,2
1,"Male",2,0
2,"Male",4,0
3,"Male",6,3
4,"Male",5,5
5,"Male",13,7
6,"Male",25,9
7,"Male",27,15
8,"Male",75,49
9,"Male",29,29
10,"Male",32,45
11,"Male",36,59
12,"Male",115,245
13,"Male",31,70
14,"Male",28,79
15,"Male",9,23
16,"Male",15,110
17,"Male",3,29
18,"Male",1,28
19,"Male",2,13
20,"Male",3,20
0,"Female",4,2
1,"Female",1,0
2,"Female",0,0
3,"Female",6,1
4,"Female",10,0
5,"Female",14,7
6,"Female",17,5
7,"Female",26,16
8,"Female",91,36
9,"Female",30,35
10,"Female",55,67
11,"Female",50,62
12,"Female",190,403
13,"Female",17,92
14,"Female",18,81
15,"Female",7,34
16,"Female",13,115
17,"Female",3,28
18,"Female",0,21
19,"Female",1,2
20,"Female",2,4
