"weight","speed","hoppers","specials"
6000,35,FALSE,FALSE
4000,26,FALSE,FALSE
3000,25,FALSE,FALSE
1400,45,FALSE,FALSE
400,70,FALSE,FALSE
350,70,FALSE,FALSE
300,64,FALSE,FALSE
260,70,FALSE,FALSE
250,40,FALSE,FALSE
3800,25,FALSE,TRUE
1000,60,FALSE,FALSE
900,70,FALSE,FALSE
900,56,FALSE,FALSE
800,29,FALSE,FALSE
750,57,FALSE,FALSE
500,32,FALSE,FALSE
450,56,FALSE,FALSE
300,72,FALSE,FALSE
300,90,FALSE,FALSE
250,80,FALSE,FALSE
250,56,FALSE,FALSE
170,80,FALSE,FALSE
150,48,FALSE,FALSE
130,70,FALSE,FALSE
120,80,FALSE,FALSE
120,61,FALSE,FALSE
110,33,FALSE,FALSE
100,64,FALSE,FALSE
85,55,FALSE,FALSE
80,65,FALSE,FALSE
72,56,FALSE,FALSE
70,45,FALSE,FALSE
65,60,FALSE,FALSE
62,81,FALSE,FALSE
50,100,FALSE,FALSE
50,60,FALSE,FALSE
50,40,FALSE,FALSE
50,47,FALSE,FALSE
37,105,FALSE,FALSE
35,80,FALSE,FALSE
34,97,FALSE,FALSE
30,97,FALSE,FALSE
30,80,FALSE,FALSE
30,45,FALSE,FALSE
20,81,FALSE,FALSE
400,40,FALSE,FALSE
300,48,FALSE,FALSE
230,56,FALSE,FALSE
150,59,FALSE,FALSE
135,48,FALSE,FALSE
65,65,FALSE,FALSE
60,60,FALSE,FALSE
55,110,FALSE,FALSE
45,50,FALSE,FALSE
40,64,FALSE,FALSE
25,67,FALSE,FALSE
20,70,FALSE,FALSE
16,65,FALSE,FALSE
12,24,FALSE,TRUE
11,30,FALSE,TRUE
10,56,FALSE,FALSE
7,60,FALSE,FALSE
6,72,FALSE,FALSE
5,64,FALSE,FALSE
5,27,FALSE,TRUE
3,16,FALSE,TRUE
127,32,FALSE,FALSE
70,40,FALSE,TRUE
13,37,FALSE,TRUE
9,3.2,FALSE,TRUE
4,16,FALSE,FALSE
0.6,36,FALSE,FALSE
0.6,20,FALSE,FALSE
0.55,27,FALSE,FALSE
0.5,18,FALSE,FALSE
0.4,20,FALSE,FALSE
0.3,13,FALSE,FALSE
0.25,9.7,FALSE,FALSE
0.22,15,FALSE,FALSE
0.11,9,FALSE,FALSE
0.1,17,FALSE,FALSE
0.056,21,TRUE,FALSE
0.05,11,FALSE,FALSE
0.045,16,FALSE,FALSE
0.035,32,TRUE,FALSE
0.035,14,TRUE,FALSE
0.03,6.8,FALSE,FALSE
0.03,9.1,FALSE,FALSE
0.025,11,FALSE,FALSE
0.025,8.6,FALSE,FALSE
0.018,8.9,FALSE,FALSE
0.016,13,FALSE,FALSE
0.1,4,FALSE,FALSE
0.1,2.4,FALSE,FALSE
0.016,3.6,FALSE,FALSE
4.6,64,TRUE,FALSE
4.4,72,TRUE,FALSE
4,72,TRUE,FALSE
3.5,56,TRUE,FALSE
2,64,TRUE,FALSE
1.9,56,TRUE,FALSE
1.5,50,TRUE,FALSE
1.5,40,TRUE,FALSE
50,65,FALSE,FALSE
5,7.4,FALSE,TRUE
0.024,13,FALSE,FALSE
4,1.6,FALSE,TRUE
